Date,Description,Amount,Category,Type
2026-01-01,Salary,65000,Income,Income
2026-01-02,Rent,-18000,Rent,Expense
2026-01-03,Groceries,-3200,Food,Expense
2026-01-04,Electricity Bill,-1800,Bills,Expense
2026-01-05,Petrol,-1500,Transport,Expense
2026-01-06,Restaurant,-1200,Food,Expense
2026-01-07,Netflix,-499,Entertainment,Expense
2026-01-08,Freelance,12000,Income,Income
2026-02-01,Salary,65000,Income,Income
2026-02-02,Rent,-18000,Rent,Expense
2026-02-03,Shopping,-4500,Shopping,Expense
2026-02-04,Internet Bill,-999,Bills,Expense
2026-02-05,Gym,-1200,Health,Expense
2026-02-06,Coffee,-250,Food,Expense
2026-02-07,Bonus,8000,Income,Income
